"id","name","kpi_id","account_id"
"base.budget_activity_001","อาคาร","ครุภัณฑ์",12040001
"base.budget_activity_002","ส่วนปรับปรุงอาคาร","ครุภัณฑ์",12040002
"base.budget_activity_003","ครุภัณฑ์และอุปกรณ์สำนักงาน","ครุภัณฑ์",12040003
"base.budget_activity_004","ครุภัณฑ์และอุปกรณ์คอมพิวเตอร์","ครุภัณฑ์",12040004
"base.budget_activity_005","ครุภัณฑ์และอุปกรณ์ก่อสร้าง","ครุภัณฑ์",12040005
"base.budget_activity_006","สินทรัพย์ระหว่างก่อสร้าง","ครุภัณฑ์",12060001
"base.budget_activity_007","สินทรัพย์ระหว่างทาง","ครุภัณฑ์",12060002
"base.budget_activity_008","เงินเดือน-พนักงาน","ค่าใช้จ่ายอื่น",51010001
"base.budget_activity_009","ค่าพัฒนาบุคลากร - ในประเทศ","ค่าใช้จ่ายอื่น",51010002
"base.budget_activity_010","ค่าพัฒนาบุคลากร - ต่างประเทศ","ค่าใช้จ่ายอื่น",51010003
"base.budget_activity_011","ค่าเบี้ยประชุม","ค่าใช้จ่ายอื่น",51010004
"base.budget_activity_012","ค่าใช้สอย","ค่าใช้จ่ายอื่น",52020001
"base.budget_activity_013","ค่าจัดฝึกอบรมบุคคลภายนอก-ในประเทศ","ค่าใช้จ่ายอื่น",52020002
"base.budget_activity_014","ค่าจัดฝึกอบรมบุคคลภายนอก-ต่างประเทศ","ค่าใช้จ่ายอื่น",52020003
"base.budget_activity_015","ค่าใช้จ่ายในการเดินทางปฏิบัติงาน-ในประเทศ","ค่าใช้จ่ายอื่น",52030001
"base.budget_activity_016","ค่าใช้จ่ายในการเดินทางปฏิบัติงาน-ต่างประเทศ","ค่าใช้จ่ายอื่น",52030002
"base.budget_activity_017","ค่าธรรมเนียม","ค่าใช้จ่ายอื่น",52040001
"base.budget_activity_018","ค่าซ่อมแซม","ค่าใช้จ่ายอื่น",52040002
"base.budget_activity_019","ค่าบำรุงรักษา","ค่าใช้จ่ายอื่น",52040003
"base.budget_activity_020","ค่ารับรองและพิธีการ","ค่าใช้จ่ายอื่น",52050001
"base.budget_activity_021","ค่าบริหารรักษาความปลอดภัย","ค่าใช้จ่ายอื่น",52050002
"base.budget_activity_022","ค่าบริหารรักษาความสะอาด","ค่าใช้จ่ายอื่น",52050003
"base.budget_activity_023","ค่าเช่ารถ","ค่าใช้จ่ายอื่น",52050004
"base.budget_activity_024","ค่าจ้างเหมาบริการ","ค่าจ้าง",52050005
"base.budget_activity_025","ค่าใช้สอยอื่น","ค่าใช้จ่ายอื่น",52050006
"base.budget_activity_026","ค่าครุภัณฑ์ต่ำกว่าเกณฑ์","ค่าใช้จ่ายอื่น",52050007
"base.budget_activity_027","ค่าวัสดุ","ค่าวัสดุ",53010001
"base.budget_activity_028","ค่าวัสดุสำนักงาน","ค่าวัสดุ",53010002
"base.budget_activity_029","ค่าวัสดุฝึกอบรม","ค่าวัสดุ",53010003
"base.budget_activity_030","ค่าวัสดุงานบ้านงานครัว","ค่าวัสดุ",53010004
"base.budget_activity_031","ค่าวัสดุหนังสือ วารสาร และตำรา","ค่าวัสดุ",53010005
"base.budget_activity_032","ค่าวัสดุคอมพิวเตอร์","ค่าวัสดุ",53010006
"base.budget_activity_033","ค่าวัสดุเพื่อขาย","ค่าวัสดุ",53010007
"base.budget_activity_034","ปรับปรุงมูลค่าทางบัญชี","ค่าใช้จ่ายอื่น",53010008
"base.budget_activity_035","ค่าสาธารณูปโภค","ค่าใช้จ่ายอื่น",53010009
"base.budget_activity_036","ค่าโทรศัพท์","ค่าใช้จ่ายอื่น",53010010
"base.budget_activity_037","ค่าจ้างที่ปรึกษา/เชี่ยวชาญ","ค่าจ้าง",53010011
"base.budget_activity_038","รายได้เงินอุดหนุน-งบประมาณแผ่นดิน","รายได้",41010001
"base.budget_activity_039","รายได้เงินอุดหนุน-งบกลาง","รายได้",41010002
"base.budget_activity_040","รายได้เงินอุดหนุน","รายได้",42010001
"base.budget_activity_041","รายได้ค่าบริการและขายสินค้า","รายได้",43010001
"base.budget_activity_042","รายได้อื่น","รายได้",43010002
"base.budget_activity_043","รายได้เบ็ดเตล็ด","รายได้",43010003
"base.budget_activity_044","กำไร/ขาดทุน","รายได้",43010004
"base.budget_activity_045","รายได้ค่าปรับ/ดอกเบี้ยล่าช้า","รายได้",49910003
